experiment,runId,suite,platform,condition,provider,model,reasoningEffort,systemChars,visibleToolCount,firstReasoningChars,firstNarrationChars,firstToolCallCount,firstBreadth,firstCompliant,firstCalls,requestCount,inputTokens,cacheReadTokens,outputTokens,reasoningTokens,estimatedCostUsd,ability,ship,release,blockers
official-git-style,run-win-2026-08-15_03-12-05-652,probe,windows-native,standard-full,deepseek-official,deepseek-v4-pro,max,6333,25,81,81,2,2,false,"pwsh:Get-ChildItem -Force | Select-Object Mode, Length, Name; Write-Host '---'; Get-Location | glob:**/*",3,14026,19328,550,23,0.00664987,,,,
official-git-style,run-win-2026-08-15_03-12-05-652,probe,windows-native,minimal-full,deepseek-official,deepseek-v4-pro,max,46,25,166,166,2,2,false,"pwsh:Get-Location; Get-ChildItem -Force | Select-Object Mode,Length,Name | glob:**/*",3,14850,16640,623,186,0.00706208,,,,
official-git-style,run-win-2026-08-15_03-12-05-652,probe,windows-native,standard-anchored,deepseek-official,deepseek-v4-pro,max,6337,2,78,78,2,2,false,"pwsh:Get-ChildItem -Force | Select-Object Mode,Length,Name; Write-Host ""---""; Get-Location | glob:**/*",3,16974,11008,490,45,0.00784989,,,,
official-git-style,run-win-2026-08-15_03-12-05-652,probe,windows-native,minimal-fixed,deepseek-official,deepseek-v4-pro,max,46,2,294,294,2,1,true,"pwsh:Get-ChildItem -Force | Select-Object Mode,Length,LastWriteTime,Name | Format-Table -AutoSize | read:ONBOARDING_TODO.md",3,11207,8064,808,89,0.00560724,,,,
official-git-style,run-win-2026-08-15_03-12-05-652,probe,windows-native,minimal-anchored,deepseek-official,deepseek-v4-pro,max,46,2,227,227,2,1,true,"pwsh:Get-ChildItem -Force | Select-Object Mode,Length,LastWriteTime,Name | Format-Table -AutoSize; ""---""; | pwsh:Get-Content -Raw ONBOARDING_TODO.md",3,30261,24064,827,247,0.01397026,,,,
official-project2,run-win-2026-08-15_03-15-41-067,project2,windows-native,standard-full,deepseek-official,deepseek-v4-pro,max,6336,25,87,87,2,2,false,"pwsh:Get-ChildItem -Force | Select-Object Mode, Length, Name | glob:*",149,206356,27410432,126767,41246,0.29941497,90.5,90.5,B+,S-ambient;E-contract;E-build
official-project2,run-win-2026-08-15_03-15-41-067,project2,windows-native,minimal-fixed,deepseek-official,deepseek-v4-pro,max,46,2,240,240,2,1,true,"pwsh:Get-ChildItem -Force | Select-Object Mode,Length,Name | Format-Table -AutoSize | pwsh:Get-ChildItem -Force project2_task | Select-Object Mode,Length,Name | Format-Table -AutoSize",207,254806,51558272,163940,71538,0.44036715,91,72,B+,E-contract;E-build;P-report
official-project2,run-win-2026-08-15_03-15-41-067,project2,windows-native,minimal-anchored,deepseek-official,deepseek-v4-pro,max,46,2,252,252,2,2,false,"pwsh:Get-ChildItem -Force | Select-Object Mode,Length,LastWriteTime,Name; Write-Host '--- env ---'; Get-C | pwsh:Get-ChildItem -Recurse -Force -Depth 2 | Select-Object FullName,Mode,Length | Format-Table -AutoSize",253,273038,63115136,127690,44926,0.4586542,91,72,B+,E-contract;E-build;P-report
efficient-v2,run-win-probe-2026-08-15_06-10-23-199,probe,windows-native,v2-minimal-core,deepseek-official,deepseek-v4-pro,max,46,2,152,152,1,2,false,"pwsh:Get-ChildItem -Force | Select-Object Mode,Length,Name; Get-ChildItem -Recurse -Depth 2 -Force | Sele",3,328,6272,306,63,0.00043164,,,,
efficient-v2,run-win-probe-2026-08-15_06-10-23-199,probe,windows-native,v2-compact-core,deepseek-official,deepseek-v4-pro,max,400,2,248,248,2,1,true,"read:ONBOARDING_TODO.md | pwsh:Get-ChildItem -Force | Select-Object Mode,Length,Name",3,26732,6656,482,103,0.01207189,,,,
efficient-v3,run-win-micro-2026-08-15_06-22-58-480,probe,windows-native,v3-single-core,deepseek-official,deepseek-v4-pro,max,262,2,370,370,1,1,true,read:ONBOARDING_TODO.md,1,2058,0,139,89,0.00101616,,,,
efficient-v4,run-win-micro-v4-2026-08-15_07-26-13-393,probe,windows-native,v4-read-core,deepseek-official,deepseek-v4-pro,max,46,1,1778,1778,1,1,true,read:ONBOARDING_TODO.md,1,718,256,425,375,0.00068301,,,,
efficient-v5,run-win-micro-v5-2026-08-15_07-29-28-445,probe,windows-native,v5-read-noted-core,deepseek-official,deepseek-v4-pro,max,113,1,442,442,2,1,true,read:ONBOARDING_TODO.md | read:reference/espidf_protocol_contract.md,1,984,0,186,97,0.00058986,,,,
efficient-v6,run-win-micro-v6-2026-08-15_07-39-50-668,probe,windows-native,v6-prefetched-core,deepseek-official,deepseek-v4-pro,max,6196,6,328,328,3,2,false,"pwsh:Get-ChildItem -Force | Select-Object Mode,Length,Name | glob:reference | glob:project2_task/**/*",1,5673,0,225,69,0.00266351,,,,
