experiment,runId,suite,platform,condition,provider,model,reasoningEffort,status,dataQuality,requestCount,assistantSteps,toolCalls,mutationCalls,inputTokens,cacheReadTokens,outputTokens,outputTokensApprox,reasoningTokens,reasoningTokensApprox,estimatedCostUsd,ability,ship,release,partialAbility,partialShip,partialRelease,firstReasoningChars,firstStepReasoningTokensApprox,firstBreadth,systemChars,visibleToolCount,blockers,notes
official-git-style,run-win-2026-08-15_03-12-05-652,probe,windows-native,standard-full,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,3,,,,14026,19328,550,,23,,0.00664987,,,,,,,81,,2,6333,25,,
official-git-style,run-win-2026-08-15_03-12-05-652,probe,windows-native,minimal-full,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,3,,,,14850,16640,623,,186,,0.00706208,,,,,,,166,,2,46,25,,
official-git-style,run-win-2026-08-15_03-12-05-652,probe,windows-native,standard-anchored,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,3,,,,16974,11008,490,,45,,0.00784989,,,,,,,78,,2,6337,2,,
official-git-style,run-win-2026-08-15_03-12-05-652,probe,windows-native,minimal-fixed,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,3,,,,11207,8064,808,,89,,0.00560724,,,,,,,294,,1,46,2,,
official-git-style,run-win-2026-08-15_03-12-05-652,probe,windows-native,minimal-anchored,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,3,,,,30261,24064,827,,247,,0.01397026,,,,,,,227,,1,46,2,,
official-project2,run-win-2026-08-15_03-15-41-067,project2,windows-native,standard-full,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,149,,,,206356,27410432,126767,,41246,,0.29941497,90.5,90.5,B+,,,,87,,2,6336,25,S-ambient;E-contract;E-build,
official-project2,run-win-2026-08-15_03-15-41-067,project2,windows-native,minimal-fixed,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,207,,,,254806,51558272,163940,,71538,,0.44036715,91,72,B+,,,,240,,1,46,2,E-contract;E-build;P-report,
official-project2,run-win-2026-08-15_03-15-41-067,project2,windows-native,minimal-anchored,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,253,,,,273038,63115136,127690,,44926,,0.4586542,91,72,B+,,,,252,,2,46,2,E-contract;E-build;P-report,
efficient-v2,run-win-probe-2026-08-15_06-10-23-199,probe,windows-native,v2-minimal-core,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,3,,,,328,6272,306,,63,,0.00043164,,,,,,,152,,2,46,2,,
efficient-v2,run-win-probe-2026-08-15_06-10-23-199,probe,windows-native,v2-compact-core,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,3,,,,26732,6656,482,,103,,0.01207189,,,,,,,248,,1,400,2,,
efficient-v3,run-win-micro-2026-08-15_06-22-58-480,probe,windows-native,v3-single-core,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,1,,,,2058,0,139,,89,,0.00101616,,,,,,,370,,1,262,2,,
efficient-v4,run-win-micro-v4-2026-08-15_07-26-13-393,probe,windows-native,v4-read-core,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,1,,,,718,256,425,,375,,0.00068301,,,,,,,1778,,1,46,1,,
efficient-v5,run-win-micro-v5-2026-08-15_07-29-28-445,probe,windows-native,v5-read-noted-core,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,1,,,,984,0,186,,97,,0.00058986,,,,,,,442,,1,113,1,,
efficient-v6,run-win-micro-v6-2026-08-15_07-39-50-668,probe,windows-native,v6-prefetched-core,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,1,,,,5673,0,225,,69,,0.00266351,,,,,,,328,,2,6196,6,,
router-vs-progressive-modeltest,run-win-2026-08-15_12-34-39-162,modeltest-project2-v4.1b,windows-native,router-standard,deepseek-official,deepseek-v4-pro,max,complete,measured-complete,165,,188,81,213981,29044736,116007,,41303,,0.29929499,92.5,92.5,B+,,,,76,,1,6273,4,M-fidelity;E-contract;E-build,
router-vs-progressive-modeltest,run-win-2026-08-15_12-34-39-162,modeltest-project2-v4.1b,windows-native,progressive-guarded,deepseek-official,deepseek-v4-pro,max,censored-402,measured-censored,74,,107,0,144470,3904640,21096,,12061,,0.09535229,,,,48,48,D,70,,2,272,2,,
historical-opencode-game,reported-dsh-progressive-game,game-generation,windows-native,progressive-guarded-historical,opencode-go,deepseek-v4-pro,high,reported-complete,reported-approximate,,47,55,22,,,,103600,,65600,,,,,,,,,10596,,,,,"Useful evidence for token-before-guard, mutation burst and missing convergence control; excluded from official-API totals and direct quality deltas."
